race;pid;finish;dist;dpos;alt;time
R00001;P000045;1;0;0;1064;0.0
R00001;P000045;1;14.03;1229;1919;1.86
R00001;P000045;1;22.4;1410;1615;2.72
R00001;P000045;1;27.94;1444;815;3.37
R00001;P000045;1;42.96;3034;1935;6.39
R00001;P000045;1;54.11;3687;1550;9.1
R00001;P000045;1;58.12;3725;1088;9.57
R00001;P000045;1;59.33;3725;1063;9.66
R00001;P000046;1;0;0;1064;0.0
R00001;P000046;1;14.03;1229;1919;1.92
R00001;P000046;1;22.4;1410;1615;2.78
R00001;P000046;1;27.94;1444;815;3.37
R00001;P000046;1;42.96;3034;1935;6.6
R00001;P000046;1;54.11;3687;1550;9.15
R00001;P000046;1;58.12;3725;1088;9.58
R00001;P000046;1;59.33;3725;1063;9.68
R00001;P000047;1;0;0;1064;0.0
R00001;P000047;1;22.4;1410;1615;2.16
R00001;P000047;1;27.94;1444;815;2.61
R00001;P000047;1;42.96;3034;1935;4.76
R00001;P000047;1;54.11;3687;1550;6.33
R00001;P000047;1;58.12;3725;1088;6.67
R00001;P000047;1;59.33;3725;1063;6.75
R00001;P000048;1;0;0;1064;0.0
R00001;P000048;1;14.03;1229;1919;2.01
R00001;P000048;1;22.4;1410;1615;2.87
R00001;P000048;1;27.94;1444;815;3.51
R00001;P000048;1;42.96;3034;1935;6.53
R00001;P000048;1;54.11;3687;1550;9.14
R00001;P000048;1;58.12;3725;1088;9.62
R00001;P000048;1;59.33;3725;1063;9.72
R00001;P000049;1;0;0;1064;0.0
R00001;P000049;1;14.03;1229;1919;2.67
R00001;P000049;1;22.4;1410;1615;3.2
R00001;P000049;1;27.94;1444;815;3.88
R00001;P000049;1;42.96;3034;1935;6.78
R00001;P000049;1;54.11;3687;1550;9.15
R00001;P000049;1;58.12;3725;1088;9.64
R00001;P000049;1;59.33;3725;1063;9.75
R00001;P000050;1;0;0;1064;0.0
R00001;P000050;1;14.03;1229;1919;2.08
R00001;P000050;1;22.4;1410;1615;2.84
R00001;P000050;1;27.94;1444;815;3.49
R00001;P000050;1;42.96;3034;1935;6.57
R00001;P000050;1;54.11;3687;1550;9.12
R00001;P000050;1;58.12;3725;1088;9.65
R00001;P000050;1;59.33;3725;1063;9.78
R00001;P000051;1;0;0;1064;0.0
R00001;P000051;1;14.03;1229;1919;2.61
R00001;P000051;1;22.4;1410;1615;3.2
R00001;P000051;1;27.94;1444;815;3.86
R00001;P000051;1;42.96;3034;1935;6.76
R00001;P000051;1;54.11;3687;1550;9.27
R00001;P000051;1;58.12;3725;1088;9.73
R00001;P000051;1;59.33;3725;1063;9.83
R00001;P000052;1;0;0;1064;0.0
R00001;P000052;1;14.03;1229;1919;1.83
R00001;P000052;1;22.4;1410;1615;2.67
R00001;P000052;1;27.94;1444;815;3.27
R00001;P000052;1;42.96;3034;1935;6.39
R00001;P000052;1;54.11;3687;1550;9.13
